,frame_id,Timestamp
368,369,2025-12-12 10:57:24.558026
369,370,2025-12-12 10:57:24.564240
370,371,2025-12-12 10:57:24.570241
371,372,2025-12-12 10:57:24.576246
372,373,2025-12-12 10:57:24.582762
373,374,2025-12-12 10:57:24.588788
374,375,2025-12-12 10:57:24.595305
375,376,2025-12-12 10:57:24.602359
376,377,2025-12-12 10:57:24.607749
377,378,2025-12-12 10:57:24.615267
378,379,2025-12-12 10:57:24.621587
379,380,2025-12-12 10:57:24.628916
380,381,2025-12-12 10:57:24.635954
381,382,2025-12-12 10:57:24.642013
382,383,2025-12-12 10:57:24.648168
383,384,2025-12-12 10:57:24.655359
384,385,2025-12-12 10:57:24.662955
385,386,2025-12-12 10:57:24.670381
386,387,2025-12-12 10:57:24.677642
387,388,2025-12-12 10:57:24.684116
388,389,2025-12-12 10:57:24.691412
389,390,2025-12-12 10:57:24.698527
390,391,2025-12-12 10:57:24.705416
391,392,2025-12-12 10:57:24.712567
392,393,2025-12-12 10:57:24.718831
393,394,2025-12-12 10:57:24.724484
394,395,2025-12-12 10:57:24.732820
395,396,2025-12-12 10:57:24.740822
396,397,2025-12-12 10:57:24.748951
397,398,2025-12-12 10:57:24.755409
398,399,2025-12-12 10:57:24.762408
399,400,2025-12-12 10:57:24.769411
400,401,2025-12-12 10:57:24.775409
401,402,2025-12-12 10:57:24.781945
402,403,2025-12-12 10:57:24.787923
403,404,2025-12-12 10:57:24.794898
404,405,2025-12-12 10:57:24.800712
405,406,2025-12-12 10:57:24.806853
406,407,2025-12-12 10:57:24.814896
407,408,2025-12-12 10:57:24.820905
408,409,2025-12-12 10:57:24.827493
409,410,2025-12-12 10:57:24.833994
410,411,2025-12-12 10:57:24.840980
411,412,2025-12-12 10:57:24.848453
412,413,2025-12-12 10:57:24.854429
413,414,2025-12-12 10:57:24.861813
414,415,2025-12-12 10:57:24.868332
415,416,2025-12-12 10:57:24.874553
416,417,2025-12-12 10:57:24.881071
417,418,2025-12-12 10:57:24.887149
418,419,2025-12-12 10:57:24.893640
419,420,2025-12-12 10:57:24.899611
420,421,2025-12-12 10:57:24.906679
421,422,2025-12-12 10:57:24.914031
422,423,2025-12-12 10:57:24.921056
423,424,2025-12-12 10:57:24.927063
424,425,2025-12-12 10:57:24.933063
425,426,2025-12-12 10:57:24.939572
426,427,2025-12-12 10:57:24.946022
427,428,2025-12-12 10:57:24.952538
428,429,2025-12-12 10:57:24.958668
429,430,2025-12-12 10:57:24.965173
430,431,2025-12-12 10:57:24.974247
431,432,2025-12-12 10:57:24.983644
432,433,2025-12-12 10:57:24.990653
433,434,2025-12-12 10:57:24.997516
434,435,2025-12-12 10:57:25.005843
435,436,2025-12-12 10:57:25.014036
436,437,2025-12-12 10:57:25.021231
